timestamp,bid_price,ask_price,bid_volume,ask_volume,order_flow,market_event
2024-11-18 11:02:43,134.19,134.3,591,931,SELL,NORMAL
2024-11-18 11:02:44,179.09,179.44,370,862,HOLD,NORMAL
2024-11-18 11:02:45,199.1,199.47,992,395,SELL,NORMAL
2024-11-18 11:02:46,176.21,176.41,502,957,HOLD,NORMAL
2024-11-18 11:02:47,118.06,118.55,901,838,SELL,DROP
2024-11-18 11:02:48,197.48,197.88,815,240,BUY,DROP
2024-11-18 11:02:49,179.76,180.22,709,936,SELL,DROP
2024-11-18 11:02:50,107.44,107.51,902,890,SELL,NORMAL
2024-11-18 11:02:51,146.64,146.9,508,587,BUY,DROP
2024-11-18 11:09:19,174.24,174.46,756,236,BUY,NORMAL
2024-11-18 11:09:20,151.43,151.8,15,954,SELL,DROP
2024-11-18 11:09:21,133.27,133.66,804,219,SELL,NORMAL
2024-11-18 11:09:22,104.29,104.75,238,435,HOLD,DROP
2024-11-18 11:09:23,189.19,189.35,275,924,SELL,NORMAL
2024-11-18 11:09:24,121.31,121.49,73,58,HOLD,NORMAL
2024-11-18 11:09:25,194.38,194.88,461,105,HOLD,SPIKE
2024-11-18 11:09:26,108.75,109.21,276,306,BUY,DROP
2024-11-18 11:09:27,177.68,178.16,80,923,HOLD,NORMAL
2024-11-18 11:09:28,132.31,132.8,54,305,HOLD,NORMAL
2024-11-18 11:09:29,112.59,112.88,63,158,BUY,DROP
2024-11-18 11:09:30,199.2,199.53,288,993,HOLD,SPIKE
2024-11-18 11:09:31,114.11,114.41,192,353,HOLD,DROP
2024-11-18 11:09:32,100.04,100.29,101,385,BUY,NORMAL
2024-11-18 11:09:33,125.1,125.38,790,615,BUY,NORMAL
2024-11-18 11:09:34,124.16,124.2,394,918,SELL,DROP
2024-11-18 11:09:35,195.09,195.54,147,140,HOLD,NORMAL
2024-11-18 11:09:36,118.55,118.61,954,337,SELL,SPIKE
2024-11-18 11:09:37,175.59,176.04,172,775,SELL,NORMAL
2024-11-18 11:09:38,188.09,188.33,39,358,BUY,NORMAL
2024-11-18 11:09:39,126.03,126.24,606,41,BUY,NORMAL
2024-11-18 11:09:40,118.9,118.99,800,156,HOLD,DROP
2024-11-18 11:09:41,151.96,152.46,192,507,BUY,DROP
2024-11-18 11:09:42,147.86,148.3,406,349,HOLD,NORMAL
2024-11-18 11:09:43,197.34,197.44,398,805,BUY,SPIKE
2024-11-18 11:09:44,157.98,158.45,809,450,BUY,DROP
2024-11-18 11:09:45,104.35,104.7,342,309,BUY,DROP
2024-11-18 11:09:46,179.05,179.35,557,421,BUY,NORMAL
2024-11-18 11:09:47,125.48,125.59,584,930,SELL,DROP
2024-11-18 11:09:48,189.73,190.09,93,576,BUY,DROP
2024-11-18 11:09:49,190.16,190.18,259,350,BUY,DROP
2024-11-18 11:09:50,187.51,187.54,159,608,HOLD,DROP
2024-11-18 11:09:51,170.68,170.8,557,949,HOLD,NORMAL
2024-11-18 11:09:52,116.24,116.41,333,249,HOLD,DROP
2024-11-18 11:09:53,152.03,152.41,927,485,BUY,DROP
2024-11-18 11:09:54,128.24,128.66,237,374,BUY,SPIKE
2024-11-18 11:09:55,135.58,135.99,215,751,SELL,NORMAL
2024-11-18 11:09:56,103.28,103.54,766,860,HOLD,NORMAL
2024-11-18 11:09:57,183.52,183.78,213,496,BUY,SPIKE
2024-11-18 11:09:58,185.48,185.78,264,917,HOLD,NORMAL
2024-11-18 11:09:59,134.16,134.44,453,922,HOLD,DROP
2024-11-18 11:10:00,135.48,135.53,972,378,BUY,DROP
2024-11-18 11:10:01,190.67,191.07,317,25,HOLD,DROP
2024-11-18 11:10:02,196.15,196.49,590,867,BUY,NORMAL
2024-11-18 11:10:03,100.15,100.22,514,729,BUY,DROP
2024-11-18 11:10:04,198.69,198.84,335,230,BUY,DROP
2024-11-18 11:10:05,114.24,114.33,486,281,HOLD,NORMAL
2024-11-18 11:10:06,184.8,185.02,723,765,SELL,NORMAL
2024-11-18 11:10:07,161.73,161.83,309,567,SELL,DROP
2024-11-18 11:10:08,109.81,110.23,329,372,HOLD,DROP
2024-11-18 11:10:09,131.91,131.92,231,812,BUY,NORMAL
2024-11-18 11:10:10,176.83,177.01,423,659,SELL,SPIKE
2024-11-18 11:10:11,135.3,135.57,324,163,BUY,SPIKE
2024-11-18 11:10:12,147.29,147.74,495,315,HOLD,NORMAL
2024-11-18 11:10:13,169.92,169.95,474,240,HOLD,NORMAL
2024-11-18 11:10:14,135.04,135.2,608,823,HOLD,DROP
2024-11-18 11:10:15,145.69,146.15,795,583,HOLD,DROP
2024-11-18 11:10:16,188.67,188.81,255,939,SELL,NORMAL
2024-11-18 11:10:17,108.78,108.84,750,788,BUY,DROP
2024-11-18 11:10:18,178.27,178.54,968,87,SELL,SPIKE
2024-11-18 11:10:19,174.93,175.4,581,623,HOLD,SPIKE
2024-11-18 11:10:20,147.12,147.54,142,281,HOLD,SPIKE
2024-11-18 11:10:21,166.64,167.04,828,730,HOLD,DROP
2024-11-18 11:10:22,181.78,182.13,29,295,HOLD,NORMAL
2024-11-18 11:10:23,165.53,165.89,519,486,SELL,NORMAL
2024-11-18 11:10:24,190.41,190.88,298,721,BUY,DROP
2024-11-18 11:10:25,109.6,109.86,678,90,SELL,SPIKE
2024-11-18 11:10:26,129.27,129.47,661,42,SELL,DROP
2024-11-18 11:10:27,137.56,137.8,968,979,SELL,DROP
2024-11-18 11:10:28,177.45,177.62,576,960,HOLD,SPIKE
2024-11-18 11:10:29,195.3,195.59,493,488,SELL,SPIKE
2024-11-18 11:10:30,109.79,110.15,133,580,SELL,NORMAL
2024-11-18 11:10:31,150.56,150.81,188,664,HOLD,DROP
2024-11-18 11:10:32,117.73,118.09,460,801,HOLD,NORMAL
2024-11-18 11:10:33,108.77,109.21,979,378,HOLD,SPIKE
2024-11-18 11:10:34,177.42,177.71,242,414,HOLD,SPIKE
2024-11-18 11:10:35,105.49,105.6,151,28,BUY,DROP
